role,proposal_idx,model,elapsed_s,error
devil,19,claude-opus-4-7,26.04,
quant,19,claude-opus-4-7,31.83,
risk,19,claude-opus-4-7,22.85,
metric_critic,19,claude-opus-4-7,23.7,
steelman,20,claude-opus-4-7,28.21,
devil,20,claude-opus-4-7,25.08,
quant,20,claude-opus-4-7,25.58,
risk,20,claude-opus-4-7,24.83,
metric_critic,20,claude-opus-4-7,33.73,
synthesizer,-,claude-opus-4-7,133.26,
self_reflection,-,claude-opus-4-7,22.69,
behavior_annotator,0,claude-opus-4-7,54.88,
behavior_annotator,1,claude-opus-4-7,46.04,
behavior_annotator,2,claude-opus-4-7,44.47,
behavior_annotator,3,claude-opus-4-7,46.74,
behavior_annotator,4,claude-opus-4-7,52.71,
behavior_annotator,5,claude-opus-4-7,46.36,
behavior_annotator,6,claude-opus-4-7,54.03,
behavior_annotator,7,claude-opus-4-7,50.87,
behavior_annotator,8,claude-opus-4-7,52.56,
behavior_annotator,9,claude-opus-4-7,42.51,
behavior_annotator,10,claude-opus-4-7,49.72,
behavior_annotator,11,claude-opus-4-7,54.59,
behavior_annotator,12,claude-opus-4-7,59.43,
behavior_annotator,13,claude-opus-4-7,56.04,
behavior_annotator,14,claude-opus-4-7,51.43,
behavior_annotator,15,claude-opus-4-7,57.91,
behavior_annotator,16,claude-opus-4-7,45.85,
behavior_annotator,17,claude-opus-4-7,47.27,
behavior_annotator,18,claude-opus-4-7,49.62,
behavior_annotator,19,claude-opus-4-7,45.51,
cross_pair_recommender,-,claude-opus-4-7,75.92,
